Negara ke-,Toefl IBT,Nilai Ujian,Peluang di Terima
1,118,337,0.92
2,107,324,0.76
3,104,316,0.72
4,110,322,0.8
5,103,314,0.65
6,115,330,0.9
7,109,321,0.75
8,101,308,0.68
9,102,302,0.5
10,108,323,0.75
11,106,325,0.75
12,111,327,0.84
13,112,328,0.78
14,109,307,0.62
15,104,311,0.61
16,105,314,0.54
17,107,317,0.66
18,106,319,0.65
19,110,318,0.63
20,102,303,0.62
21,107,312,0.64
22,114,325,0.7
23,116,328,0.94
24,119,334,0.95
25,119,336,0.97
26,120,340,0.94
27,109,322,0.76
28,98,298,0.44
29,93,295,0.46
30,99,310,0.54
31,97,300,0.65
32,103,327,0.74
33,118,338,0.91
34,114,340,0.9
35,112,331,0.94
36,110,320,0.88
37,106,299,0.64
38,105,300,0.58
39,105,304,0.65
40,108,307,0.65
