Data ke-,Bekerja_Tahun,Pendapatan_Juta
1,1.1,3934300
2,1.3,4620500
3,1.5,3773100
4,2,4352500
5,2.2,3989100
6,2.9,5664200
7,3,6015000
8,3.2,5444500
9,3.2,6444500
10,3.7,5718900
11,3.9,6321800
12,4,5579400
13,4,5695700
14,4.1,5708100
15,4.5,6111100
16,4.9,6793800
17,5.1,6602900
18,5.3,8308800
19,5.9,8136300
20,6,9394000
21,6.8,9173800
22,7.1,9827300
23,7.9,10130200
24,8.2,11381200
25,8.7,10943100
26,9,10558200
27,9.5,11696900
28,9.6,11263500
29,10.3,12239100
30,10.5,12187200
